time_points,happiness,surprise,fear,sadness,anger,disgust
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.09999999999999999,0.0
13,0.0,0.0,0.0,0.27499999999999997,0.125,0.0
14,0.0,0.0,0.0,0.8333333333333334,0.0,0.0
15,0.0,0.0,0.0,0.8333333333333334,0.0,0.0
16,0.0,0.0,0.0,0.3,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.4666666666666666,0.0,0.0,0.0,0.0
19,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
20,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
21,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
22,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
23,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0
24,0.5750000000000001,0.6666666666666666,0.6333333333333333,1.0,0.0,0.0
25,0.0,0.09999999999999999,0.3,1.5333333333333332,0.0,0.0
26,0.0,0.0,0.0,1.6666666666666667,0.0,0.0
27,0.0,0.0,0.0,1.6666666666666667,0.0,0.0
28,0.0,0.0,0.0,1.6166666666666665,0.0,0.0
29,0.0,0.0,0.0,0.5499999999999999,0.0,0.0
30,0.7000000000000001,0.0,0.0,0.16666666666666666,0.0,0.0
31,1.1666666666666667,0.0,0.0,0.9249999999999999,0.0,0.0
32,1.1666666666666667,0.0,0.0,1.0,0.0,0.0
33,1.2916666666666667,0.0,0.0,0.8833333333333333,0.0,0.0
34,2.1416666666666666,0.0,0.0,0.8333333333333334,0.0,0.0
35,2.1666666666666665,0.0,0.0,0.8333333333333334,0.0,0.0
36,2.1666666666666665,0.0,0.0,0.8333333333333334,0.0,0.0
37,2.1666666666666665,0.0,0.0,0.8333333333333334,0.0,0.0
38,2.125,0.0,0.0,0.8333333333333334,0.0,0.0
39,2.0,0.0,0.0,0.8333333333333334,0.0,0.0
40,1.7333333333333334,0.0,0.0,0.8333333333333334,0.0,0.0
41,1.1666666666666667,0.0,0.0,0.8333333333333334,0.0,0.0
42,1.1666666666666667,0.0,0.0,0.8333333333333334,0.0,0.0
43,1.1666666666666667,0.0,0.0,0.8333333333333334,0.0,0.0
