PC1,PC2,PC3,PC4,PC5,PC6,time_points
-2.7256460340907687,18.776161075437436,-13.677678651419914,-3.716905736874618,-1.003662204481474,-0.6123819036364259,1
-2.7256460340906816,18.776161075437496,-13.677678651419876,-3.716905736874648,-1.00366220448155,-0.6123819036364734,2
-2.7256460340908215,18.776161075437525,-13.67767865141998,-3.7169057368747507,-1.0036622044814938,-0.6123819036364038,3
-2.725646034090603,18.776161075437372,-13.677678651419923,-3.7169057368746365,-1.0036622044814998,-0.6123819036364913,4
-2.7256460340906767,18.776161075437454,-13.677678651419933,-3.7169057368745424,-1.0036622044815167,-0.612381903636368,5
-2.725646034090691,18.77616107543745,-13.677678651419935,-3.7169057368746348,-1.0036622044815056,-0.6123819036364951,6
-2.725646034090689,18.776161075437454,-13.677678651419935,-3.7169057368746232,-1.003662204481507,-0.6123819036364672,7
-2.725646034090689,18.776161075437454,-13.677678651419935,-3.7169057368746232,-1.003662204481507,-0.6123819036364672,8
-2.725646034090689,18.776161075437454,-13.677678651419935,-3.7169057368746232,-1.003662204481507,-0.6123819036364672,9
-2.725646034090689,18.776161075437454,-13.677678651419935,-3.7169057368746232,-1.003662204481507,-0.6123819036364672,10
-2.725646034090689,18.776161075437454,-13.677678651419935,-3.7169057368746232,-1.003662204481507,-0.6123819036364672,11
-2.7134416507148926,18.78089885571208,-13.672159719974934,-3.626456385243782,-1.013934362059122,-0.6512605022281389,12
-2.5046871324017177,18.603193645163255,-13.644035157775322,-3.6228206102889193,-1.0012827782455804,-0.6625802547076958,13
-2.1023023296384875,18.23407120992993,-13.596633714030961,-3.774410473095376,-0.9575421341543997,-0.6172307000959771,14
-2.1023023296384875,18.23407120992993,-13.596633714030961,-3.774410473095376,-0.9575421341543997,-0.6172307000959771,15
-2.501242300487896,18.58100872385474,-13.648502473959905,-3.737607441914094,-0.9870589791637483,-0.6141274703618906,16
-2.725646034090689,18.776161075437454,-13.677678651419935,-3.7169057368746232,-1.003662204481507,-0.6123819036364672,17
-2.810546284478442,18.731356213188327,-13.528023185640802,-3.6612631750965274,-0.5758320470627137,-0.6068363770677161,18
-2.8469321060731945,18.71215412936727,-13.463885128878317,-3.6374163629059173,-0.39247626531180246,-0.604459722823965,19
-2.8469321060731945,18.71215412936727,-13.463885128878317,-3.6374163629059173,-0.39247626531180246,-0.604459722823965,20
-2.8469321060731945,18.71215412936727,-13.463885128878317,-3.6374163629059173,-0.39247626531180246,-0.604459722823965,21
-2.8469321060731945,18.71215412936727,-13.463885128878317,-3.6374163629059173,-0.39247626531180246,-0.604459722823965,22
-2.3482571425114322,18.278482236961253,-13.399049178967138,-3.683420151882519,-0.35558020905011656,-0.6083387599915728,23
-2.2988726385611695,17.92214472229189,-12.610405902700862,-3.746259427196798,-0.6509994229273601,-0.5924496133441628,24
-1.532252193195576,17.88086786388447,-13.23537258561203,-3.846055942985769,-0.8894151401577888,-0.6147257629000322,25
-1.4789586251862856,17.691981344422402,-13.515588776641987,-3.831915209316128,-0.9114220638272925,-0.6220794965554871,26
-1.4789586251862856,17.691981344422402,-13.515588776641987,-3.831915209316128,-0.9114220638272925,-0.6220794965554871,27
-1.5163592474534147,17.724506736352854,-13.520451472885325,-3.828464925142884,-0.9141892680469187,-0.6217885687679164,28
-2.314239189152234,18.418381764202483,-13.62418899274321,-3.75485886278032,-0.9732229580656162,-0.6155821092997438,29
-3.0105116743574896,18.21070402720677,-13.411924058480174,-3.686271874776189,-1.2164446194920027,-0.6054987309620161,30
-2.7162918240774756,17.412709532842136,-13.171809428481568,-3.7105113118420157,-1.3224796415449462,-0.6046758477626004,31
-2.660190890676777,17.363921444946456,-13.16451538411656,-3.715686738101884,-1.3183288352155065,-0.6051122394439565,32
-2.8205901487924465,17.35819990555873,-13.131299960089947,-3.7001120019340883,-1.3644296502534292,-0.6030310986599196,33
-3.3552825196076577,16.835749277689466,-12.833142992558043,-3.6454980207019894,-1.636776089779527,-0.5932044677703485,34
-3.36990874750613,16.81942645357771,-12.82423064950583,-3.643993206082611,-1.644704890817952,-0.592924005914407,35
-3.36990874750613,16.81942645357771,-12.82423064950583,-3.643993206082611,-1.644704890817952,-0.592924005914407,36
-3.36990874750613,16.81942645357771,-12.82423064950583,-3.643993206082611,-1.644704890817952,-0.592924005914407,37
-3.345531701008677,16.84663116043064,-12.839084554592857,-3.6465012304482407,-1.6314902224205765,-0.5933914423409756,38
-3.2724005615163154,16.928245280989422,-12.883646269853918,-3.654025303545132,-1.591846217228448,-0.5947937516206817,39
-3.1163874639326026,17.10235540484815,-12.978711262410856,-3.6700766594851646,-1.5072723394852414,-0.5977853447507213,40
